Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
0,3,-15,0,3,-2,-2,-1,-3,-24,-18,0,-4,-1,0,-2,3
-2,11,38,-4,-6,-3,1,-1,-6,10,-51,-11,-10,-10,-3,-2,3
-4,-10,-2,-2,2,7,1,-1,2,22,32,6,3,0,-3,0,3
-2,0,-7,0,3,-1,-3,-2,3,-14,13,6,3,-1,1,1,3
-2,13,16,-2,-1,-3,-2,-3,3,8,13,2,2,5,3,-2,3
5,-2,0,1,-7,-4,2,3,-12,-5,-7,-15,1,-3,-5,-6,3
0,7,-36,9,1,-3,0,1,-1,2,-7,-4,-7,4,-5,-2,3
-1,5,15,-2,-4,1,2,0,4,7,21,3,0,3,0,1,3
6,23,71,4,-1,-1,0,2,-12,-65,-103,-12,3,-3,0,-2,3
-1,-7,-6,-3,-7,-8,-7,-2,4,5,35,3,4,6,2,1,3
-3,-4,-61,-8,-3,4,4,-1,5,13,33,5,0,1,2,1,3
-3,13,14,4,-1,-4,-1,0,-4,-29,61,0,-3,-3,-3,-3,3
0,10,-91,-10,-6,-5,-2,1,-5,0,-24,-12,-14,3,2,-1,3
2,-17,-26,11,15,8,-1,0,3,8,15,-3,-3,-1,0,0,3
6,24,41,10,-1,-2,-2,1,-2,-6,44,10,8,-1,-2,0,3
3,28,-33,5,0,4,1,0,-7,7,-9,-14,-12,0,-5,-4,3
-1,-32,-50,-17,-14,4,5,2,1,-4,54,7,15,10,-12,-7,3
-13,-27,28,-28,-10,-15,-9,-6,11,15,-52,11,2,5,4,5,3
-10,0,25,-16,-2,-10,-3,-7,-1,-13,49,10,-8,-13,-1,0,3
0,9,-24,-2,2,20,4,0,2,6,-14,4,5,9,1,0,3
-2,-21,11,-6,-5,5,3,1,3,4,-19,-1,-8,-4,-6,1,3
-5,-3,-63,-7,3,-4,-2,-4,-1,20,-4,-11,-3,-4,-1,-2,3
5,1,-1,1,-2,4,1,2,-3,7,45,1,2,-2,-4,-1,3
4,32,75,7,4,-8,-2,-1,-11,-38,-42,-18,-11,-11,-1,-2,3
8,18,42,20,9,-2,-2,3,1,3,-50,-1,-2,-7,1,2,3
-9,-26,-39,-15,-9,-6,-3,-3,6,3,-61,4,1,0,6,3,3
2,31,74,19,5,-6,-8,-3,-12,-72,-50,-25,-6,-5,-2,-6,3
