Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-14,-21,-91,-21,-12,-2,-7,-8,-8,3,115,-2,-4,-17,-6,-6,1
-7,-34,-84,-15,-9,-3,-2,0,9,24,10,9,4,-2,1,3,1
0,18,66,20,6,7,0,2,7,69,14,1,4,6,4,1,1
-5,-16,76,-4,0,-8,-3,-1,-11,16,-30,-19,-8,-5,-3,-4,1
8,14,45,1,4,0,2,1,-1,-15,-21,7,5,6,0,-1,1
11,14,72,12,4,1,2,4,-10,1,-107,-23,-6,4,0,-3,1
1,68,60,-9,-4,-12,-7,-6,-7,-65,-15,3,1,1,6,3,1
-2,-17,-9,-17,-7,-3,-5,-5,8,-9,98,16,4,-9,1,3,1
-30,-92,-10,-34,-13,-12,-3,-11,3,49,10,-4,-8,-11,-4,-1,1
0,-23,-32,0,0,-6,0,-1,-1,-71,-83,-9,-3,-3,-1,0,1
-2,48,51,22,8,8,1,1,4,-59,72,14,7,7,-1,1,1
-7,2,62,-14,-9,-6,-1,0,2,62,105,8,1,5,0,-4,1
-5,0,-18,-17,-6,6,2,-1,6,58,64,-4,2,-2,-4,-1,1
-3,-13,-10,16,5,2,-5,-1,-19,13,-103,-26,-16,-14,-7,-9,1
10,12,36,9,1,-9,-1,3,4,16,-22,-4,-4,3,-3,-2,1
-9,-102,97,10,-5,-9,1,1,-7,90,25,-3,-4,-3,-5,-6,1
-5,-36,-93,-4,2,10,4,0,10,-40,-98,8,8,3,5,5,1
3,22,-32,11,-1,2,1,1,-6,-22,-120,-11,-8,-2,2,0,1
6,-6,-50,6,-1,-2,-1,1,1,-20,-27,-1,-7,6,3,2,1
1,13,-51,5,17,19,-4,-6,14,41,18,8,11,22,4,7,1
5,56,91,-3,-4,-8,-3,-1,3,-10,15,14,3,0,3,1,1
-8,-51,-44,-15,-4,13,-4,-7,-1,32,94,25,9,3,-2,2,1
5,23,-92,-16,-11,-12,-4,1,14,43,67,25,12,7,0,5,1
-33,-28,72,-62,-24,-20,-2,-15,11,7,75,15,8,0,-1,3,1
9,17,77,16,5,19,6,6,0,35,67,-5,-4,-12,-3,0,1
1,14,-40,-2,-2,-13,-4,0,-3,-62,-63,-9,-5,-2,0,-1,1
-1,37,15,-5,-7,-15,2,-2,-9,-32,-42,0,6,5,-1,0,1
-12,-30,-79,-19,-8,-10,-4,-6,-4,-16,-31,-14,-12,-2,-6,-4,1
-1,-9,2,7,1,2,-2,-3,-13,-52,-63,-21,-12,-12,-3,-5,1
12,36,30,18,10,3,6,8,-1,-16,-41,-5,-2,2,-2,-1,1
15,71,71,17,11,11,3,5,-18,-42,-14,-31,-10,-3,-4,-9,1
-4,-68,-6,3,6,5,-1,-2,1,48,-5,-9,-8,-1,-3,-2,1
-2,-33,43,-22,-9,-7,1,0,5,-11,-16,0,6,-7,-4,-3,1
6,12,34,27,10,14,3,3,0,6,88,2,-7,-23,-2,-5,1
-14,-52,-128,-20,-8,-14,-11,-7,5,1,57,11,3,12,2,2,1
6,6,-128,5,0,-16,-3,2,4,50,72,13,5,6,0,0,1
-5,-7,-22,-11,-14,-15,-2,-5,2,42,4,-1,5,10,-1,-2,1
1,11,-21,13,3,4,-4,-1,-11,-60,-49,-20,-8,-9,-2,-5,1
-3,-9,35,0,-4,-3,0,-1,-2,-20,-9,-5,0,-2,0,0,1
5,2,-37,5,-1,-4,-6,0,-1,-2,49,10,4,14,5,2,1
0,50,40,-3,-4,-4,-2,-1,-12,-59,-61,-16,-7,-12,-3,-6,1
6,52,124,12,5,6,-1,0,2,1,-98,-7,-1,2,3,2,1
5,15,48,9,1,2,1,0,-1,25,44,6,-6,-11,2,0,1
4,-6,-11,3,2,10,-5,0,22,39,-63,37,31,18,11,11,1
-13,27,-37,-21,-9,0,0,-4,-3,-24,-26,2,7,5,1,-2,1
-4,9,27,-10,-4,2,4,1,9,-14,28,-2,-3,-5,0,5,1
3,-30,39,20,6,6,0,2,0,11,8,0,0,-3,-1,0,1
6,48,25,1,-8,-10,-1,0,-12,-71,-22,0,1,16,-3,-6,1
16,-25,38,26,16,17,5,7,-33,-27,127,-15,-23,-27,-17,-18,1
1,19,106,-5,-1,-3,-4,-3,-2,10,23,-11,-5,-2,-3,-1,1
2,-34,-16,-2,-1,-2,0,1,11,10,-9,16,7,5,4,4,1
-5,2,-22,3,2,5,3,1,-10,-5,1,-14,-10,-10,-5,-5,1
-2,0,-9,-9,-14,-13,-5,0,5,23,-2,8,8,-6,-5,1,1
4,-56,-46,2,2,-20,0,0,3,69,-30,4,7,-6,-1,-1,1
-29,24,54,-16,-9,-4,-10,-13,-3,24,-118,-25,-3,0,-2,-5,1
-7,53,75,-8,-7,4,-1,4,-5,-26,-9,-3,-12,-4,-2,-6,1
