Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-2,-17,50,-4,-11,-3,-3,-2,-1,6,-11,-2,-11,-8,-3,-2,0
-5,-8,7,-3,13,1,0,-3,0,9,-10,-3,-2,0,1,0,0
0,-7,-1,0,-2,-1,3,2,3,7,30,0,4,4,3,-1,0
-7,-13,-18,-4,-8,-3,-2,-3,0,-9,5,-1,3,1,-1,-2,0
-2,-2,-3,0,-1,-1,-3,1,0,0,10,-2,1,-1,-2,-2,0
4,9,0,4,-4,1,1,2,-8,-15,-39,0,3,0,1,-2,0
2,9,14,5,-3,-2,-3,-1,-1,-8,-9,-8,0,-2,-1,0,0
2,10,2,-5,-6,-2,-1,-2,3,-3,25,8,-5,-3,-2,-2,0
-3,4,-40,-5,13,3,0,-1,-6,-26,7,0,-3,-3,-2,-1,0
-1,1,2,1,-2,-4,-3,0,3,20,24,1,0,1,0,1,0
-2,-11,4,0,-4,1,0,-1,0,2,-5,-4,-3,-3,-1,-1,0
-1,12,-25,-8,-10,-1,-1,1,-2,-8,4,-1,10,1,0,-1,0
1,20,15,5,-2,1,0,-1,-2,-3,-28,2,1,-1,-2,-1,0
0,-12,17,2,-4,-4,-2,0,-4,5,0,-2,-2,-1,-2,0,0
0,-7,-16,-7,-4,-1,0,-3,-2,16,35,-2,-3,-3,-2,-2,0
1,-6,-26,-5,-1,-2,-2,-3,2,-3,-9,2,0,0,0,0,0
-2,0,21,5,1,2,0,-2,1,2,7,2,-3,-4,-1,0,0
-1,11,-10,-4,-8,1,-2,-1,-2,-14,-14,-2,10,0,-3,-2,0
3,0,46,5,-5,-2,-1,0,-3,-7,-23,-3,1,-1,-1,-1,0
-1,-6,-5,-3,2,0,-2,1,-1,10,5,4,-6,-5,-2,-1,0
1,-2,8,-2,-1,-2,-1,-2,-1,18,-13,1,-2,2,-1,0,0
-2,-19,3,-1,5,0,0,1,1,-4,-9,-9,-7,-6,0,-1,0
1,-12,-14,-5,-2,0,1,-1,-4,-9,5,4,4,2,2,0,0
-4,2,-16,5,3,1,0,0,-1,-6,4,5,-1,-1,0,0,0
1,10,-22,-7,-5,0,-1,0,2,-6,14,3,-2,-3,-1,-2,0
0,6,10,0,-2,0,1,-1,-1,-19,-10,-6,7,1,1,0,0
